Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,20240513_0d196b02e4c1545f72835424f170570f,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,SF PRD,,MEOA,20240513T160000.645000000,,B,17.95000000,100.000000,126588:VCVW,7897:INCA,,VCTY-TAK2-340629,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000005.csv.bz2
,20240513_15553307364_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T151046.048806000,,B,6.10000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430277928,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554077091_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153304.496589000,,S,5.30000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430286927,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554307309_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153942.816652000,,S,4.96000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289763,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554308501_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153944.648389000,,S,4.89000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289780,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554309756_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153946.584441000,,S,4.81000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289800,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554310329_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153947.584418000,,S,4.80000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289811,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554311036_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153948.816414000,,S,4.75000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289822,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554312268_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153950.008984000,,S,4.74000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289828,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554312636_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153951.280160000,,S,4.70000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289842,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_15554313232_OA_1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,,GME   240517C00035000,MOOA,20240513T153952.720130000,,S,4.62000000,1.000000,126588:VCVW,104031:DFIN,,VCW52430289852,,,,,,,,,,,,,,,,,,,,,,,,,,,104031_DFIN_20240513_ATLASOPTIN_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001702266,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,REGCO,,MEOA,20240513T160000.517000000,,B,21.84000000,100.000000,126588:VCVW,104138:SPDR,,VCTY-TAK2-327144,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001702450,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BCV PRA,,MEOA,20240513T160000.844000000,,SL,22.62000000,200.000000,126588:VCVW,104138:SPDR,,VCTY-TAK2-461794,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001702729,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,IVR PRB,,MEOA,20240513T160001.431000000,,B,24.08000000,100.000000,126588:VCVW,104138:SPDR,,VCTY-TAK2-375919,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001702812,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ESGRP,,MEOA,20240513T160001.486000000,,B,25.48000000,17.000000,126588:VCVW,104138:SPDR,,VCTY-TAK2-429470,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001703080,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,EQH PRA,,MEOA,20240513T160001.621000000,,B,21.78000000,100.000000,126588:VCVW,104138:SPDR,,VCTY-TAK2-412938,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_283d9434246e01917e7df64655371452,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,KREF PRA,,MEOA,20240513T160001.193000000,,SL,19.43000000,2.000000,126588:VCVW,7897:INCA,,VCTY-TAK2-430152,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000037.csv.bz2
